

Inorder traversal of the Parse Tree:

Node                      Token                     ID                        L-Child                   R-Child                  
0                         data_type                 double                    NULL                      NULL                     
1                         variable                  dval                      NULL                      NULL                     
2                         param                     (null)                    0                         1                        
3                         data_type                 double                    NULL                      NULL                     
4                         IDENTIFIER                dsoln                     NULL                      NULL                     
5                         param                     (null)                    3                         4                        
6                         data_type                 int                       NULL                      NULL                     
7                         variable                  s1                        NULL                      NULL                     
8                         param                     (null)                    6                         7                        
9                         opt_param_list            (null)                    8                         NULL                     
10                        opt_param_list            (null)                    5                         9                        
11                        param_list                (null)                    2                         10                       
13                        variable                  i                         NULL                      NULL                     
14                        ICONSTANT                 0                         NULL                      NULL                     
15                        opt_assignment            (null)                    14                        NULL                     
16                        tmp                       (null)                    15                        NULL                     
17                        var_declaration           (null)                    13                        16                       
18                        variable                  i                         NULL                      NULL                     
19                        ICONSTANT                 0                         NULL                      NULL                     
20                        GEQ                       (null)                    18                        19                       
21                        variable                  i                         NULL                      NULL                     
22                        variable                  s1                        NULL                      NULL                     
23                        LEQ                       (null)                    21                        22                       
24                        DAND                      (null)                    20                        23                       
25                        variable                  i                         NULL                      NULL                     
26                        INC                       (null)                    25                        NULL                     
27                        IDENTIFIER                dsoln                     26                        NULL                     
28                        variable                  dval                      NULL                      NULL                     
29                        assignment_tmp            (null)                    27                        28                       
30                        assignment                (null)                    29                        NULL                     
31                        while_stmt                (null)                    24                        30                       
32                        statement_list            (null)                    17                        31                       
33                        procedure                 set_constant              11                        32                       
34                        function_list_procedure   (null)                    33                        NULL                     
35                        data_type                 char*                     NULL                      NULL                     
36                        variable                  title                     NULL                      NULL                     
37                        param                     (null)                    35                        36                       
38                        data_type                 double                    NULL                      NULL                     
39                        IDENTIFIER                dsoln                     NULL                      NULL                     
40                        param                     (null)                    38                        39                       
41                        data_type                 int                       NULL                      NULL                     
42                        variable                  s1                        NULL                      NULL                     
43                        param                     (null)                    41                        42                       
44                        opt_param_list            (null)                    43                        NULL                     
45                        opt_param_list            (null)                    40                        44                       
46                        param_list                (null)                    37                        45                       
48                        variable                  i                         NULL                      NULL                     
49                        tmp                       (null)                    NULL                      NULL                     
50                        var_declaration           (null)                    48                        49                       
51                        K_PRINT_STRING            (null)                    NULL                      NULL                     
52                        SCONSTANT                 "Vector: "                NULL                      NULL                     
53                        print_stmt                (null)                    51                        52                       
54                        statement_list            (null)                    50                        53                       
55                        K_PRINT_STRING            (null)                    NULL                      NULL                     
56                        SCONSTANT                 "title"                   NULL                      NULL                     
57                        print_stmt                (null)                    55                        56                       
58                        statement_list            (null)                    54                        57                       
59                        K_PRINT_STRING            (null)                    NULL                      NULL                     
60                        SCONSTANT                 "\ni  value\n"            NULL                      NULL                     
61                        print_stmt                (null)                    59                        60                       
62                        statement_list            (null)                    58                        61                       
63                        variable                  i                         NULL                      NULL                     
64                        ICONSTANT                 0                         NULL                      NULL                     
65                        assignment_tmp            (null)                    63                        64                       
66                        assignment                (null)                    65                        NULL                     
67                        variable                  i                         NULL                      NULL                     
68                        variable                  s1                        NULL                      NULL                     
69                        LEQ                       (null)                    67                        68                       
84                        tmp1                      (null)                    66                        69                       
70                        variable                  i                         NULL                      NULL                     
71                        INC                       (null)                    70                        NULL                     
72                        K_PRINT_INTEGER           (null)                    NULL                      NULL                     
73                        variable                  i                         NULL                      NULL                     
74                        print_stmt                (null)                    72                        73                       
75                        K_PRINT_STRING            (null)                    NULL                      NULL                     
76                        SCONSTANT                 " "                       NULL                      NULL                     
77                        print_stmt                (null)                    75                        76                       
78                        statement_list            (null)                    74                        77                       
79                        K_PRINT_DOUBLE            (null)                    NULL                      NULL                     
80                        variable                  i                         NULL                      NULL                     
81                        IDENTIFIER                dsoln                     80                        NULL                     
82                        print_stmt                (null)                    79                        81                       
83                        statement_list            (null)                    78                        82                       
85                        tmp2                      (null)                    71                        83                       
86                        do_stmt                   (null)                    84                        85                       
87                        statement_list            (null)                    62                        86                       
88                        K_PRINT_STRING            (null)                    NULL                      NULL                     
89                        SCONSTANT                 "--- End of vector\n"     NULL                      NULL                     
90                        print_stmt                (null)                    88                        89                       
91                        statement_list            (null)                    87                        90                       
92                        procedure                 print_vector              46                        91                       
93                        function_list             (null)                    34                        92                       
94                        data_type                 double                    NULL                      NULL                     
95                        data_type                 double                    NULL                      NULL                     
96                        IDENTIFIER                dsoln                     NULL                      NULL                     
97                        param                     (null)                    95                        96                       
98                        data_type                 int                       NULL                      NULL                     
99                        variable                  s1                        NULL                      NULL                     
100                       param                     (null)                    98                        99                       
101                       opt_param_list            (null)                    100                       NULL                     
102                       param_list                (null)                    97                        101                      
104                       variable                  i                         NULL                      NULL                     
105                       ICONSTANT                 0                         NULL                      NULL                     
106                       opt_assignment            (null)                    105                       NULL                     
107                       tmp                       (null)                    106                       NULL                     
108                       var_declaration           (null)                    104                       107                      
110                       variable                  asoln                     NULL                      NULL                     
111                       tmp                       (null)                    NULL                      NULL                     
112                       var_declaration           (null)                    110                       111                      
113                       statement_list            (null)                    108                       112                      
115                       variable                  l0_norm                   NULL                      NULL                     
116                       DCONSTANT                 0.0d0                     NULL                      NULL                     
117                       opt_assignment            (null)                    116                       NULL                     
118                       tmp                       (null)                    117                       NULL                     
119                       var_declaration           (null)                    115                       118                      
120                       statement_list            (null)                    113                       119                      
121                       variable                  i                         NULL                      NULL                     
122                       variable                  s1                        NULL                      NULL                     
123                       LEQ                       (null)                    121                       122                      
124                       variable                  i                         NULL                      NULL                     
125                       IDENTIFIER                dsoln                     124                       NULL                     
126                       DCONSTANT                 0.                        NULL                      NULL                     
127                       LEQ                       (null)                    125                       126                      
128                       variable                  asoln                     NULL                      NULL                     
129                       variable                  i                         NULL                      NULL                     
130                       IDENTIFIER                dsoln                     129                       NULL                     
131                       UMINUS                    (null)                    130                       NULL                     
132                       assignment_tmp            (null)                    128                       131                      
133                       assignment                (null)                    132                       NULL                     
